,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Bluff,-46.6,168.3333,64.29,67,0,11.79,NZ
1,Puerto Colombia,10.9878,-74.9547,78.89,86,100,19.37,CO
2,Cidreira,-30.1811,-50.2056,72.37,78,99,5.79,BR
3,Isangel,-19.55,169.2667,86.11,58,75,9.22,VU
4,Padang,-0.9492,100.3543,78.85,74,95,2.44,ID
5,Mataura,-46.1927,168.8643,81.46,36,0,3.83,NZ
6,Bairiki,1.3292,172.9752,86.0,70,40,8.05,KI
7,Avarua,-21.2078,-159.775,78.85,69,100,3.44,CK
8,Pevek,69.7008,170.3133,-24.79,97,10,0.74,RU
9,Hobyo,5.3505,48.5268,76.41,79,98,20.78,SO
10,Saint-Philippe,-21.3585,55.7679,80.19,83,34,12.03,RE
11,Kodiak,57.79,-152.4072,36.91,93,0,3.44,US
12,Auch,43.65,0.5833,50.45,94,97,1.99,FR
13,Grindavik,63.8424,-22.4338,16.27,67,0,9.22,IS
14,Beloha,-25.1667,45.05,73.49,84,0,11.48,MG
15,Rikitea,-23.1203,-134.9692,77.86,74,73,16.42,PF
16,Havoysund,70.9963,24.6622,32.23,74,98,27.04,NO
17,Nikolskoye,59.7035,30.7861,37.29,92,100,10.76,RU
18,Seymchan,62.8833,152.4333,-24.23,93,100,8.43,RU
19,Mikkeli,61.6886,27.2723,35.71,93,100,8.05,FI
20,Luderitz,-26.6481,15.1594,63.72,76,1,16.93,NA
21,Evensk,61.95,159.2333,9.52,67,100,22.79,RU
22,Hofn,64.2539,-15.2082,19.15,66,13,19.66,IS
23,Castro,-24.7911,-50.0119,64.63,96,99,2.55,BR
24,Ushuaia,-54.8,-68.3,49.66,62,20,8.05,AR
25,Punta Arenas,-53.15,-70.9167,51.91,62,75,19.57,CL
26,Port Hardy,50.6996,-127.4199,42.98,100,75,2.3,CA
27,Airai,-8.9266,125.4092,72.01,67,100,3.6,TL
28,Lerwick,60.1545,-1.1494,41.0,73,100,29.62,GB
29,Marzuq,14.4,46.4667,56.98,85,0,5.61,YE
30,Dikson,73.5069,80.5464,-35.5,94,24,3.69,RU
31,Sitka,57.0531,-135.33,44.49,70,100,13.8,US
32,Katsuura,35.1333,140.3,54.68,82,100,15.61,JP
33,Linjiang,41.8069,126.9078,10.11,66,39,1.05,CN
34,East London,-33.0153,27.9116,71.85,82,93,3.67,ZA
35,Faanui,-16.4833,-151.75,76.84,82,100,16.6,PF
36,Lebu,-37.6167,-73.65,56.88,91,16,18.03,CL
37,Kyaikkami,16.08,97.5675,73.33,65,2,5.41,MM
38,Atuona,-9.8,-139.0333,78.82,73,84,11.99,PF
39,Abnub,27.2696,31.1511,50.41,59,92,3.58,EG
40,Vila Franca Do Campo,37.7167,-25.4333,54.01,60,16,19.01,PT
41,Albany,42.6001,-73.9662,26.51,79,68,3.0,US
42,Pangnirtung,66.1451,-65.7125,-15.52,100,100,1.72,CA
43,Taxisco,14.0708,-90.4631,69.66,59,3,6.69,GT
44,Chokurdakh,70.6333,147.9167,-34.56,98,100,1.68,RU
45,Cherskiy,68.75,161.3,-39.23,100,28,1.63,RU
46,Kholodnyy,62.7167,147.95,-23.96,91,100,4.76,RU
47,Bengkulu,-3.8004,102.2655,81.84,69,63,3.76,ID
48,Kushiro,42.975,144.3747,20.35,63,75,8.05,JP
49,Belyy Yar,53.6039,91.3903,22.89,69,100,17.9,RU
50,Yulara,-25.2406,130.9889,96.51,20,32,16.04,AU
51,Cabinda,-5.55,12.2,77.5,87,95,3.76,AO
52,Herat,34.5,62.0,13.14,52,0,3.24,AF
53,Tessalit,20.1986,1.0114,62.73,22,30,9.66,ML
54,Hit,33.6416,42.8251,51.3,91,54,3.8,IQ
55,Saskylakh,71.9167,114.0833,-40.74,97,95,1.59,RU
56,Hambantota,6.1241,81.1185,76.68,74,81,6.08,LK
57,Oranjestad,12.524,-70.027,78.91,86,1,5.01,AW
58,Tottori,35.5,134.2333,50.07,81,75,13.8,JP
59,Miraflores,19.2167,-98.8083,57.87,47,1,3.27,MX
60,Paamiut,61.994,-49.6678,16.92,83,100,9.48,GL
61,Egvekinot,66.3167,-179.1667,-11.13,83,91,21.14,RU
62,Hilo,19.7297,-155.09,76.73,72,100,8.05,US
63,Chuy,-33.6971,-53.4616,66.31,69,100,5.08,UY
64,Alice Springs,-23.7,133.8833,90.95,40,40,18.41,AU
65,Hualmay,-11.0964,-77.6139,69.53,78,100,7.18,PE
66,Jeremoabo,-10.075,-38.4808,68.97,94,4,5.53,BR
67,Kozhevnikovo,56.2589,83.9714,12.52,92,100,10.71,RU
68,Haverfordwest,51.8017,-4.9691,45.05,74,54,7.0,GB
69,Pangai,-19.8,-174.35,86.11,74,75,5.75,TO
70,Cape Town,-33.9258,18.4232,70.38,71,0,19.57,ZA
71,Hella,67.2,14.4333,24.94,76,20,25.32,NO
72,Lazaro Cardenas,17.9583,-102.2,76.68,78,14,3.69,MX
73,Carazinho,-28.2839,-52.7864,65.64,92,100,6.51,BR
74,Provideniya,64.3833,-173.3,2.5,93,99,14.34,RU
75,Meulaboh,4.1363,96.1285,81.25,72,100,3.2,ID
